165,75.9,122.199,mesomorph,,,,,,,
166,76.36,122.9396,mesomorph,,,,,,,
167,76.82,123.6802,mesomorph,,,,,,,
168,77.28,124.4208,mesomorph,,,,,,,
169,77.74,125.1614,mesomorph,,,,,,,
170,78.2,125.902,mesomorph,,,,,,,
171,78.66,126.6426,mesomorph,,,,,,,
172,79.12,127.3832,mesomorph,,,,,,,
173,79.58,128.1238,mesomorph,,,,,,,
174,80.04,128.8644,mesomorph,,,,,,,
175,80.5,129.605,mesomorph,,,,,,,
176,80.96,129.536,mesomorph,,,,,,,
177,81.42,130.272,mesomorph,,,,,,,
178,81.88,131.008,mesomorph,,,,,,,
179,82.34,131.744,mesomorph,,,,,,,
180,82.8,132.48,mesomorph,,,,,,,
181,83.26,133.216,mesomorph,,,,,,,
182,83.72,133.952,mesomorph,,,,,,,
183,84.18,134.688,mesomorph,,,,,,,
184,84.64,135.424,mesomorph,,,,,,,
185,85.1,136.16,mesomorph,,,,,,,
186,85.56,136.896,mesomorph,,,,,,,
187,86.02,137.632,mesomorph,,,,,,,
188,86.48,138.368,mesomorph,,,,,,,
189,86.94,139.104,mesomorph,,,,,,,
190,87.4,139.84,mesomorph,,,,,,,
165,77.55,124.46775,mesomorph,,,,,,,
166,78.02,125.2221,mesomorph,,,,,,,
167,78.49,125.97645,mesomorph,,,,,,,
168,78.96,126.7308,mesomorph,,,,,,,
169,79.43,127.48515,mesomorph,,,,,,,
170,79.9,128.2395,mesomorph,,,,,,,
171,80.37,128.99385,mesomorph,,,,,,,
172,80.84,129.7482,mesomorph,,,,,,,
173,81.31,130.50255,mesomorph,,,,,,,
174,81.78,131.2569,mesomorph,,,,,,,
175,82.25,132.01125,mesomorph,,,,,,,
176,82.72,133.09648,mesomorph,,,,,,,
177,83.19,133.85271,mesomorph,,,,,,,
178,83.66,134.60894,mesomorph,,,,,,,
179,84.13,135.36517,mesomorph,,,,,,,
180,84.6,136.1214,mesomorph,,,,,,,
181,85.07,136.87763,mesomorph,,,,,,,
182,85.54,137.63386,mesomorph,,,,,,,
183,86.01,138.39009,mesomorph,,,,,,,
184,86.48,139.14632,mesomorph,,,,,,,
185,86.95,139.90255,mesomorph,,,,,,,
186,87.42,140.65878,mesomorph,,,,,,,
187,87.89,141.41501,mesomorph,,,,,,,
188,88.36,142.17124,mesomorph,,,,,,,
189,88.83,142.92747,mesomorph,,,,,,,
190,89.3,143.6837,mesomorph,,,,,,,
165,79.2,126.7992,mesomorph,,,,,,,
166,79.68,127.56768,mesomorph,,,,,,,
167,80.16,128.33616,mesomorph,,,,,,,
168,80.64,129.10464,mesomorph,,,,,,,
169,81.12,129.87312,mesomorph,,,,,,,
170,81.6,130.6416,mesomorph,,,,,,,
171,82.08,131.41008,mesomorph,,,,,,,
172,82.56,132.17856,mesomorph,,,,,,,
173,83.04,132.94704,mesomorph,,,,,,,
174,83.52,133.71552,mesomorph,,,,,,,
175,84,134.484,mesomorph,,,,,,,
176,84.48,136.0128,mesomorph,,,,,,,
177,84.96,136.7856,mesomorph,,,,,,,
178,85.44,137.5584,mesomorph,,,,,,,
179,85.92,138.3312,mesomorph,,,,,,,
180,86.4,139.104,mesomorph,,,,,,,
181,86.88,139.8768,mesomorph,,,,,,,
182,87.36,140.6496,mesomorph,,,,,,,
183,87.84,141.4224,mesomorph,,,,,,,
184,88.32,142.1952,mesomorph,,,,,,,
185,88.8,142.968,mesomorph,,,,,,,
186,89.28,143.7408,mesomorph,,,,,,,
